Gene	p_value
ENSMUSG00000050377	2.995714915742911e-06
ENSMUSG00000051354	4.4611904750549064e-07
ENSMUSG00000045518	3.8066467823090173e-06
ENSMUSG00000016494	1.691741598505901e-05
ENSMUSG00000071317	1.3159356216975847e-05
ENSMUSG00000058624	1.2941982289871228e-06
ENSMUSG00000025776	1.4393025592021811e-05
ENSMUSG00000021998	2.0911501187951226e-06
ENSMUSG00000009734	3.4420816345752956e-06
ENSMUSG00000017493	2.3631577044625056e-05
ENSMUSG00000048138	2.3393200769809856e-05
ENSMUSG00000085139	7.229584119357098e-06
ENSMUSG00000005583	8.365904666390808e-06
ENSMUSG00000074345	3.2072181657182746e-05
ENSMUSG00000090125	2.8477557270030508e-05
ENSMUSG00000034009	5.298047848626458e-06
ENSMUSG00000052430	5.561474431377834e-06
ENSMUSG00000078591	1.0062515180027508e-06
ENSMUSG00000031112	5.236258753431192e-09
ENSMUSG00000027737	9.817998320005044e-06
ENSMUSG00000021478	5.506733618929651e-06
ENSMUSG00000041710	1.64209405548798e-05
ENSMUSG00000024521	4.1356401514275905e-07
ENSMUSG00000003657	1.2033029814498136e-05
ENSMUSG00000059203	2.4144317160918908e-05
ENSMUSG00000087095	2.3825860906980512e-07
ENSMUSG00000049892	1.212853457241896e-05
ENSMUSG00000004085	7.3094239021818795e-06
ENSMUSG00000053025	1.1626499245476526e-05
ENSMUSG00000041301	1.7824132478135217e-06
ENSMUSG00000074622	1.6956783271077736e-05
ENSMUSG00000068196	4.03645717256286e-06
ENSMUSG00000070687	1.333603299605198e-05
ENSMUSG00000005148	1.081791993721216e-06
ENSMUSG00000056494	1.9795341253350257e-05
ENSMUSG00000036760	2.3771520734495417e-05
ENSMUSG00000034185	2.326391526123689e-05
ENSMUSG00000022860	2.9613573813307097e-05
ENSMUSG00000048387	1.8534168995938018e-05
ENSMUSG00000026395	6.7209949341003405e-06
ENSMUSG00000029659	8.41100194275921e-06
ENSMUSG00000045915	1.6640476641954197e-05
ENSMUSG00000059588	1.8762551996431702e-05
ENSMUSG00000025370	4.933098974773502e-06
ENSMUSG00000025324	2.608770677342277e-05
ENSMUSG00000039706	2.314900191704293e-05
ENSMUSG00000006369	3.5598007862650598e-06
ENSMUSG00000036437	2.0118076129488603e-06
ENSMUSG00000078137	3.4605609475486125e-06
ENSMUSG00000028289	1.0357324131460901e-05
ENSMUSG00000026193	1.7106158128978582e-05
ENSMUSG00000050663	1.56448369411453e-05
ENSMUSG00000040254	2.1942411516754098e-05
ENSMUSG00000022949	1.9299114519945057e-05
ENSMUSG00000049511	4.2717787492093105e-05
ENSMUSG00000091636	9.706567040783994e-07
ENSMUSG00000068696	9.689118821743297e-06
ENSMUSG00000041548	3.588371563152941e-05
ENSMUSG00000059173	7.429393399334046e-06
ENSMUSG00000021680	5.160231484573182e-06
ENSMUSG00000043850	1.0708124188906944e-05
ENSMUSG00000090061	1.6453143966622552e-05
ENSMUSG00000025905	9.107416892761421e-06
ENSMUSG00000029335	1.6178123688438218e-05
ENSMUSG00000021676	3.74240047620095e-05
ENSMUSG00000045573	2.67445380304485e-05
ENSMUSG00000097466	1.8757019311170664e-05
ENSMUSG00000020614	3.402045736100649e-05
ENSMUSG00000023913	3.222651835010315e-05
ENSMUSG00000057719	5.054336328339958e-06
ENSMUSG00000039153	1.076250070960451e-05
ENSMUSG00000026315	1.375673049633721e-06
ENSMUSG00000096014	3.4614217537610075e-06
ENSMUSG00000027400	3.1291537760861166e-05
ENSMUSG00000053897	4.917848154089826e-06
ENSMUSG00000026890	3.195364536092262e-05
ENSMUSG00000037428	4.766770269847742e-06
ENSMUSG00000054453	1.553250590727356e-05
ENSMUSG00000038760	4.81496063908978e-08
ENSMUSG00000052504	1.8088259331906756e-05
ENSMUSG00000055540	7.523468352362821e-06
ENSMUSG00000058400	3.744888666074155e-05
ENSMUSG00000029697	2.8510877185268168e-05
ENSMUSG00000019997	4.417719122683642e-05
ENSMUSG00000037984	9.591326082962478e-06
ENSMUSG00000027978	2.0199426057049322e-05
ENSMUSG00000095139	1.9245395522738455e-05
ENSMUSG00000038331	1.693633593876016e-05
ENSMUSG00000109588	4.1316062824158164e-05
ENSMUSG00000021750	9.825582737147993e-07
ENSMUSG00000035686	3.286656744956806e-05
ENSMUSG00000044770	2.5702432308233333e-06
ENSMUSG00000031997	1.0297021352166352e-05
ENSMUSG00000019929	3.145548700116158e-05
ENSMUSG00000046550	5.687218180476228e-06
ENSMUSG00000038300	4.4069826893912535e-05
ENSMUSG00000047161	1.2334029555432308e-05
ENSMUSG00000061535	1.5848786143767768e-05
ENSMUSG00000023959	1.7359656076901954e-05
ENSMUSG00000099696	1.4244174686981132e-05
ENSMUSG00000061132	8.725579572935473e-06
ENSMUSG00000021508	2.2836928676137143e-05
ENSMUSG00000027748	2.2621096945433346e-05
ENSMUSG00000021379	1.528372469939008e-05
