gene_identifier,gene_symbol,name,mapped_ncbi_identifier
ENSMUSG00000024798,Htr7,5-hydroxytryptamine (serotonin) receptor 7,NCBIGene:15566
ENSMUSG00000042385,Gzmk,granzyme K,NCBIGene:14945
ENSMUSG00000036198,Arhgap36,Rho GTPase activating protein 36,NCBIGene:75404
ENSMUSG00000028780,Sema3c,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C",NCBIGene:20348
ENSMUSG00000015843,Rxrg,retinoid X receptor gamma,NCBIGene:20183
ENSMUSG00000026768,Itga8,integrin alpha 8,NCBIGene:241226
ENSMUSG00000049928,Glp2r,glucagon-like peptide 2 receptor,NCBIGene:93896
ENSMUSG00000041046,Ramp3,receptor (calcitonin) activity modifying protein 3,NCBIGene:56089
ENSMUSG00000032373,Car12,carbonic anhydrase 12,NCBIGene:76459
ENSMUSG00000004633,Chn2,chimerin 2,NCBIGene:69993
ENSMUSG00000022468,Endou,"endonuclease, polyU-specific",NCBIGene:19011
ENSMUSG00000026514,Cnih3,cornichon family AMPA receptor auxiliary protein 3,NCBIGene:72978
ENSMUSG00000037681,Esyt3,extended synaptotagmin-like protein 3,NCBIGene:272636
ENSMUSG00000051910,Sox6,SRY (sex determining region Y)-box 6,NCBIGene:20679
ENSMUSG00000005672,Kit,KIT proto-oncogene receptor tyrosine kinase,NCBIGene:16590
ENSMUSG00000032649,Colgalt2,collagen beta(1-O)galactosyltransferase 2,NCBIGene:269132
ENSMUSG00000050315,Synpo2,synaptopodin 2,NCBIGene:118449
ENSMUSG00000027568,Ntsr1,neurotensin receptor 1,NCBIGene:18216
ENSMUSG00000046719,Nxph3,neurexophilin 3,NCBIGene:104079
ENSMUSG00000031130,Brs3,bombesin-like receptor 3,NCBIGene:12209
ENSMUSG00000020182,Ddc,dopa decarboxylase,NCBIGene:13195
ENSMUSG00000046546,Fam43a,"family with sequence similarity 43, member A",NCBIGene:224093
ENSMUSG00000050783,Htr1f,5-hydroxytryptamine (serotonin) receptor 1F,NCBIGene:15557
ENSMUSG00000000792,Slc5a5,"solute carrier family 5 (sodium iodide symporter), member 5",NCBIGene:114479
ENSMUSG00000079330,Lemd1,LEM domain containing 1,NCBIGene:213409
ENSMUSG00000035910,Dcdc2a,doublecortin domain containing 2a,NCBIGene:195208
ENSMUSG00000023232,Serinc2,serine incorporator 2,NCBIGene:230779
